key,english,czech
"agents.quick_config.time_schedule","Time Schedule",""
"agents.quick_config.event_triggers","Event Triggers",""
"agents.quick_config.frequency","Frequency",""
"agents.quick_config.daily","Daily",""
"agents.quick_config.weekly","Weekly",""
"agents.quick_config.monthly","Monthly",""
"agents.quick_config.days","Days",""
"agents.quick_config.day_of_month","Day of Month",""
"agents.quick_config.time","Time",""
"agents.events_panel.source_agent","Source Agent",""
"agents.events_panel.no_agents","No agents available",""
"agents.events_panel.events_from","Events from {name}",""
"agents.events_panel.select_agent","Select an agent",""
"agents.events_panel.loading_events","Loading events...",""
"agents.events_panel.no_subscriptions","No event subscriptions found",""
"agents.events_panel.choose_agent","Choose an agent to see its events",""
"agents.matrix_cred_picker.no_stored","No stored credentials",""
"agents.matrix_cred_picker.best_match","Best match",""
"agents.matrix_cred_picker.other","Other",""
"agents.services_panel.no_connectors","No connectors with healthy API keys found. Add credentials in the Vault first.",""
"agents.services_panel.select_table","Select table",""
"agents.spatial_question.agent_configuration","Agent Configuration",""
"agents.spatial_question.or_custom_answer","Or type a custom answer",""
"agents.spatial_question.type_answer","Type your answer...",""
"agents.spatial_question.submit","Submit",""
"agents.spatial_question.press_to_select","Press 1-{count} to select instantly",""
"agents.table_picker.title","Select Table",""
"agents.table_picker.search","Search tables...",""
"agents.table_picker.loading","Loading tables...",""
"agents.table_picker.no_tables","No tables found for this connector",""
"agents.table_picker.clear_selection","Clear selection",""
"agents.table_picker.no_match","No tables matching ""{search}""",""
"agents.matrix_entry.new_agent","New Agent",""
"agents.matrix_entry.failed_to_create","Failed to create draft agent.",""
"agents.matrix_entry.build_failed","Build failed to start. Check CLI configuration.",""
"agents.workflow_upload.build_hint","Press Build to transform this workflow into a persona agent.",""
"agents.workflow_upload.paste_placeholder","Paste your workflow JSON here...",""
"agents.workflow_upload.parse","Parse",""
"agents.workflow_upload.drop_file","Drop a workflow file here",""
"agents.workflow_upload.file_types","n8n, Zapier, Make, or GitHub Actions (.json, .yaml)",""
"agents.workflow_upload.paste_json","Or paste JSON directly",""
"agents.config_popup.load_error","Could not load saved values -- you may need to re-enter them.",""
"agents.config_popup.fill_hint","Fill in at least one field to save",""
"agents.config_popup.failed_to_save","Failed to save configuration",""
"agents.onboarding.setup_complete","Setup {score}% complete",""
"agents.onboarding.steps_done","{completed}/{total} steps done",""
"agents.onboarding.dismiss_checklist","Dismiss checklist",""
"agents.template_picker.title","Choose a Template",""
"agents.template_picker.subtitle","Pick a template to pre-fill your agent, or start from scratch.",""
"agents.template_picker.start_from_scratch","Start from scratch",""
"agents.persona_overview.no_match","No personas match",""
"agents.persona_overview.no_connectors","No connectors",""
"agents.persona_overview.never","Never",""
"agents.persona_overview.description_copied","Description copied to clipboard",""
"agents.persona_overview.failed_copy","Failed to copy description",""
"agents.persona_overview.no_connectors_configured","No connectors configured",""
"agents.persona_overview.click_to_copy","Click to copy",""
"agents.overview_empty.title","No personas match these filters",""
"agents.overview_empty.subtitle","Try adjusting your search or filter chips, or reset the view to see all personas.",""
"agents.overview_empty.clear_all_filters","Clear all filters",""
"agents.overview_batch.selected","{count} selected",""
"agents.overview_menu.more_actions","More actions",""
"agents.overview_menu.settings","Settings",""
"agents.overview_toolbar.search_placeholder","Search personas...",""
"agents.overview_toolbar.show_all","Show all personas",""
"agents.overview_toolbar.show_favorites","Show only favorites",""
"agents.overview_toolbar.favorites","Favorites",""
"agents.overview_toolbar.clear_search","Clear search",""
"agents.overview_columns.persona","Persona",""
"agents.overview_columns.connectors","Connectors",""
"agents.overview_columns.status","Status",""
"agents.overview_columns.trust","Trust",""
"agents.overview_columns.triggers","Triggers",""
"agents.overview_columns.last_run","Last Run",""
"agents.overview_columns.all_statuses","All Statuses",""
"agents.overview_columns.active_only","Active only",""
"agents.overview_columns.disabled_only","Disabled only",""
"agents.overview_columns.building_drafts","Building / Drafts",""
"agents.overview_columns.all_health","All Health",""
"agents.overview_columns.all_connectors","All Connectors",""
"agents.overview_columns.active_triggers","{count} active trigger(s)",""
"agents.health_indicator.last","last {count}",""
"agents.view_presets.views","Views",""
"agents.view_presets.save_current","Save Current View",""
"agents.view_presets.smart_presets","Smart Presets",""
"agents.view_presets.your_views","Your Views",""
"agents.view_presets.custom_view","Custom View",""
"agents.view_presets.custom_filters","Custom filters",""
"agents.view_presets.reset_defaults","Reset to defaults",""
"agents.view_presets.view_name_placeholder","View name...",""
"agents.view_presets.enter_view_name","Enter a view name",""
"agents.view_presets.delete_view","Delete view",""
"agents.view_presets.active_healthy","Active & Healthy",""
"agents.view_presets.needs_attention","Needs Attention",""
"agents.view_presets.failing_agents","Failing Agents",""
"agents.view_presets.my_favorites","My Favorites",""
"agents.view_presets.recently_active","Recently Active",""
"agents.activity.title","Activity",""
"agents.activity.items","{count} items",""
"agents.activity.all_statuses","All statuses",""
"agents.activity.select_persona","Select a persona to view activity",""
"agents.activity.no_activity","No activity yet",""
"agents.activity.execution","Execution",""
"agents.activity.description","Description",""
"agents.activity.context","Context",""
"agents.activity.reviewer_notes","Reviewer Notes",""
"agents.activity.approve","Approve",""
"agents.activity.reject","Reject",""
"agents.activity.col_activity","Activity",""
"agents.activity.col_status","Status",""
"agents.activity.col_time","Time",""
"agents.activity.execution_status","Execution {status}",""
"agents.activity.no_output","No output",""
"agents.activity.message_title","Message",""
"agents.activity.modal_execution_title","{name} - Execution",""
"agents.activity.modal_execution_subtitle","ID: {id}",""
"agents.activity.modal_review_title","Review: {title}",""
"agents.activity.modal_review_subtitle","Severity: {severity} · Status: {status}",""
"agents.chat.select_persona","Select a persona to start chatting",""
"agents.chat.waiting","Waiting for response...",""
"agents.chat.ask_anything","Ask anything about this agent...",""
"agents.chat.enter_to_send","Enter to send, Shift+Enter for new line",""
"agents.chat.scroll_to_bottom","Scroll to bottom",""
"agents.chat.experiments_running_one","{count} experiment running -- results will appear here when ready",""
"agents.chat.experiments_running_other","{count} experiments running -- results will appear here when ready",""
"agents.chat.you","You",""
"agents.chat.assistant","Assistant",""
"agents.chat.thinking","thinking...",""
"agents.chat.copy_message","Copy message",""
"agents.chat.no_conversations","No conversations yet",""
"agents.chat.new_chat","New Chat",""
"agents.chat.confirm_delete","Delete?",""
"agents.chat.processing","Processing...",""
"agents.chat.delete_conversation","Delete conversation",""
"agents.chat.confirm_delete_conversation","Confirm delete conversation",""
"agents.advisory.how_can_improve","How can this agent work better for you?",""
"agents.advisory.go","Go",""
"agents.advisory.improve","Improve",""
"agents.advisory.improve_desc","Describe what you want this agent to do better",""
"agents.advisory.improve_goal_label","What should improve?",""
"agents.advisory.experiment","Experiment",""
"agents.advisory.experiment_desc","Test two approaches side-by-side",""
"agents.advisory.experiment_hypothesis_label","What to test?",""
"agents.advisory.analyze","Analyze",""
"agents.advisory.analyze_desc","Review performance trends and patterns",""
"agents.advisory.test_run","Test Run",""
"agents.advisory.test_run_desc","Run the agent and evaluate the result",""
"agents.advisory.test_input_label","Test input (optional)",""
"agents.ops.sessions","Sessions",""
"agents.ops.run","Run",""
"agents.ops.lab","Lab",""
"agents.ops.health","Health",""
"agents.ops.assertions","Assertions",""
"agents.ops.switch_panel","Switch to {panel} panel",""
"agents.ops.choose_action","Choose an action or type a message below",""
"agents.ops.diagnose","Diagnose",""
"agents.ops.diagnose_desc","Analyze health, performance and find issues",""
"agents.ops.execute","Execute",""
"agents.ops.execute_desc","Run the agent with optional input",""
"agents.ops.input_optional","Input (optional)",""
"agents.ops.arena_test","Arena Test",""
"agents.ops.arena_test_desc","Compare models head-to-head",""
"agents.ops.models","Models",""
"agents.ops.improve","Improve",""
"agents.ops.improve_desc","AI-driven persona refinement",""
"agents.ops.focus_area","Focus area",""
"agents.ops.executions","Executions",""
"agents.ops.executions_desc","Review recent execution history",""
"agents.ops.knowledge","Knowledge",""
"agents.ops.knowledge_desc","View memories and learned patterns",""
"agents.ops.reviews","Reviews",""
"agents.ops.reviews_desc","Pending approvals and decisions",""
"agents.ops.versions","Versions",""
"agents.ops.versions_desc","Prompt version history and rollback",""
"agents.ops_run.execute_agent","Execute Agent",""
"agents.ops_run.running","Running...",""
"agents.ops_run.recent","Recent",""
"agents.ops_run.no_executions","No executions yet",""
"agents.ops_run.refresh_executions","Refresh executions",""
"agents.ops_lab.history","History",""
"agents.ops_lab.no_lab_runs","No lab runs yet",""
"agents.ops_lab.refresh_lab","Refresh lab history",""
"agents.ops_lab.arena","Arena",""
"agents.ops_lab.improve","Improve",""
"agents.ops_health.no_health_data","No health data",""
"agents.ops_health.run_health_check","Run Health Check",""
"agents.ops_health.checking","Checking...",""
"agents.ops_health.last_check","Last check",""
"agents.ops_health.checked_at","Checked {time}",""
"agents.ops_health.issues","Issues",""
"agents.ops_health.run_check_aria","Run health check",""
"agents.ops_health.healthy","Healthy",""
"agents.ops_health.degraded","Degraded",""
"agents.ops_health.unhealthy","Unhealthy",""
"agents.ops_assertions.active_count","{enabled}/{total} active",""
"agents.ops_assertions.no_assertions","No assertions configured",""
"agents.ops_assertions.refresh_assertions","Refresh assertions",""
"agents.ops_assertions.enable_assertion","Enable {name}",""
"agents.ops_assertions.disable_assertion","Disable {name}",""
"agents.health_tab.title","Health Check",""
"agents.health_tab.description","Run a dry-run analysis against this agent's current configuration to detect missing credentials, disconnected connectors, incompatible tool combinations, and underspecified use cases. Issues are surfaced as actionable cards with one-click fixes.",""
"agents.matrix_tab.loading","Loading matrix",""
"agents.matrix_tab.no_data","No matrix data available. Build or rebuild this persona to generate dimensions.",""
"agents.settings_status.saving","Saving {sections}...",""
"agents.settings_status.changed","{sections} changed",""
"agents.settings_status.all_saved","All changes saved",""
"agents.settings_status.irreversible","Irreversible",""
"agents.settings_status.identity","Identity",""
"agents.settings_status.execution","Execution",""
"agents.settings_status.label_name","Name",""
"agents.settings_status.label_description","Description",""
"agents.settings_status.label_icon","Icon",""
"agents.settings_status.label_color","Color",""
"agents.settings_status.max_concurrent","Max Concurrent",""
"agents.settings_status.timeout_sec","Timeout (sec)",""
"agents.settings_status.execution_retention","Execution Retention",""
"agents.settings_status.months","months",""
"agents.settings_status.persona_enabled","Persona Enabled",""
"agents.settings_status.sensitive_preview","Sensitive Preview",""
"agents.settings_status.sensitive_preview_desc","Mask hover preview details until revealed.",""
"agents.settings_status.failed_health_watch","Failed to update health watch setting",""
"agents.settings_status.health_watch","Health Watch",""
"agents.settings_status.health_watch_active","Health monitoring active (every 6h)",""
"agents.settings_status.health_watch_enable","Enable continuous health monitoring",""
"agents.tool_runner.no_tools","No tools assigned to this persona.",""
"agents.tool_runner.input_json","Input JSON",""
"agents.tool_runner.run","Run",""
"agents.tool_runner.running","Running...",""
"agents.tool_runner.success","Success",""
"agents.tool_runner.failed","Failed",""
"agents.tool_runner.error","Error",""
"agents.health_check.title","Agent Health Check",""
"agents.health_check.idle_description","Run a dry-run analysis to detect missing credentials, disconnected connectors, and underspecified use cases.",""
"agents.health_check.run_check","Run Check",""
"agents.health_check.select_agent","Select an agent to run health check",""
"agents.health_check.scanning","Scanning agent configuration...",""
"agents.health_check.scanning_detail","Checking credentials, connectors, and use cases",""
"agents.health_check.check_failed","Health check failed",""
"agents.health_check.issues_found_one","{count} issue found",""
"agents.health_check.issues_found_other","{count} issues found",""
"agents.health_check.no_issues","No issues detected",""
"agents.health_check.stale","Stale",""
"agents.health_check.rerun","Re-run",""
"agents.health_check.capabilities","Capabilities",""
"agents.health_check.all_healthy","All systems healthy",""
"agents.health_check.all_healthy_detail","No issues detected in agent configuration",""
"agents.health_digest.title","Agent Health Digest",""
"agents.health_digest.description","Run a comprehensive health check across all your agents to detect configuration drift, expired credentials, and optimization opportunities.",""
"agents.health_digest.run_digest","Run Health Digest",""
"agents.health_digest.generating","Generating digest...",""
"agents.health_digest.stale_warning","Health data is outdated. Re-run for current results.",""
"agents.health_digest.all_healthy","All systems healthy",""
"agents.health_digest.some_attention","Some agents need attention",""
"agents.health_digest.critical_issues","Critical issues detected",""
"agents.health_digest.agents_checked_one","{count} agent checked",""
"agents.health_digest.agents_checked_other","{count} agents checked",""
"agents.health_digest.issues_one","{count} issue",""
"agents.health_digest.issues_other","{count} issues",""
"agents.health_digest.last_run","Last run: {time}",""
"agents.health_issue.apply_fix","Apply Fix: {label}",""
"agents.health_issue.manual_action","Manual action needed",""
"agents.health_score.healthy","Healthy",""
"agents.health_score.degraded","Degraded",""
"agents.health_score.unhealthy","Unhealthy",""
"agents.prompt_editor.no_persona","No persona selected",""
"agents.prompt_editor.enter_content","Enter {section} content...",""
"agents.prompt_editor.new_section","New Section",""
"agents.prompt_editor.saved","Saved",""
"agents.prompt_editor.sections","sections",""
"agents.custom_sections.title","Custom Sections",""
"agents.custom_sections.add","Add",""
"agents.custom_sections.no_sections","No custom sections yet",""
"agents.custom_sections.section_fallback","Section {index}",""
"agents.custom_sections.remove_section","Remove section",""
"agents.custom_sections.title_placeholder","Section title...",""
"agents.custom_sections.content_placeholder","Section content...",""
"agents.custom_sections.custom_section","Custom Section",""
"agents.activity_filters.all","All",""
"agents.activity_filters.executions","Executions",""
"agents.activity_filters.events","Events",""
"agents.activity_filters.memories","Memories",""
"agents.activity_filters.reviews","Reviews",""
"agents.activity_filters.messages","Messages",""
"agents.overview_actions.delete_agent","Delete Agent",""
"agents.overview_actions.delete_agent_message","This agent and all its configuration will be permanently removed.",""
"agents.overview_actions.delete_agents","Delete {count} Agent(s)",""
"agents.overview_actions.delete_agents_message","{count} agent(s) and all their configuration will be permanently removed.",""
"agents.overview_actions.delete_drafts","Delete {count} Draft(s)",""
"agents.overview_actions.delete_drafts_message","{count} draft agent(s) will be permanently removed.",""
"agents.persona_list.all_personas","All Personas",""
"agents.persona_list.delete_drafts_btn","Delete Drafts ({count})",""
"agents.persona_list.badge_draft","Draft",""
"agents.persona_list.badge_disabled","Disabled",""
"agents.persona_list.badge_building","Building",""
"agents.persona_list.batch_selected","{count} selected",""
"agents.persona_list.batch_delete","Delete",""
"agents.persona_list.batch_clear","Clear",""
"agents.persona_list.no_personas_match","No personas match",""
"agents.persona_list.no_connectors","No connectors",""
"agents.persona_list.never","Never",""
"agents.persona_list.click_to_copy","Click to copy",""
"agents.persona_list.description_copied","Description copied to clipboard",""
"agents.persona_list.copy_failed","Failed to copy description",""
"agents.persona_list.no_match_filters","No personas match these filters",""
"agents.persona_list.adjust_filters_hint","Try adjusting your search or filter chips, or reset the view to see all personas.",""
"agents.persona_list.clear_all_filters","Clear all filters",""
"agents.persona_list.more_actions","More actions",""
"agents.persona_list.settings","Settings",""
"agents.persona_list.search_personas","Search personas…",""
"agents.persona_list.favorites","Favorites",""
"agents.persona_list.show_all_personas","Show all personas",""
"agents.persona_list.show_only_favorites","Show only favorites",""
"agents.persona_list.clear_search","Clear search",""
"agents.persona_list.col_persona","Persona",""
"agents.persona_list.no_connectors_configured","No connectors configured",""
"agents.design_preview.preview","Preview",""
"agents.design_preview.identity","Identity",""
"agents.design_preview.prompt","Prompt",""
"agents.design_preview.lines","{count} lines",""
"agents.design_preview.tools","Tools",""
"agents.design_preview.triggers","Triggers",""
"agents.design_preview.subscriptions","Subscriptions",""
"agents.design_preview.none_yet","None yet",""
"agents.design_preview.activating","Activating...",""
"agents.design_preview.activate_agent","Activate Agent",""
"agents.design_preview.create_agent","Create Agent",""
"agents.design_preview.min_completeness","Add more detail to reach 40% completeness",""
"agents.editor_ui.max_budget_label","Max Budget (USD)",""
"agents.editor_ui.max_budget_hint","Maximum total spend for a single execution. The run will stop if this limit is reached.",""
"agents.editor_ui.max_budget_range","$0.01 and up, or leave blank for no limit",""
"agents.editor_ui.max_budget_example","0.50",""
"agents.editor_ui.max_budget_placeholder","Monthly budget in USD -- e.g. 25.00",""
"agents.editor_ui.max_turns_label","Max Turns",""
"agents.editor_ui.max_turns_hint","Maximum number of LLM round-trips per execution. Each turn is one prompt-response cycle with tool use.",""
"agents.editor_ui.max_turns_range","1 and up, or leave blank for no limit",""
"agents.editor_ui.max_turns_example","5",""
"agents.editor_ui.max_turns_placeholder","Max round-trips -- e.g. 5",""
"agents.editor_ui.prompt_caching","Prompt Caching",""
"agents.editor_ui.prompt_caching_hint","Caches the system prompt across executions to reduce input token costs. Agents that run frequently with the same prompt benefit most.",""
"agents.editor_ui.prompt_caching_range","Off, 5 min, or 1 hr retention",""
"agents.editor_ui.prompt_caching_example","5 min for cron-triggered agents",""
"agents.editor_ui.cache_off","Off",""
"agents.editor_ui.cache_off_desc","No caching",""
"agents.editor_ui.cache_short","5 min",""
"agents.editor_ui.cache_short_desc","Short retention",""
"agents.editor_ui.cache_long","1 hr",""
"agents.editor_ui.cache_long_desc","Long retention",""
"agents.editor_ui.source_agent","Agent",""
"agents.editor_ui.source_workspace","Workspace",""
"agents.editor_ui.source_global","Global",""
"agents.editor_ui.source_default","Default",""
"agents.editor_ui.tooltip_workspace","Inherited from workspace ""{name}""",""
"agents.editor_ui.tooltip_global","Inherited from global defaults",""
"agents.editor_ui.tooltip_agent_override","Overrides workspace/global default",""
"agents.editor_ui.tooltip_agent_set","Set on this agent",""
"agents.editor_ui.tooltip_default","No value configured",""
"agents.editor_ui.tooltip_overriding","Overriding inherited value",""
"agents.editor_ui.effective_config","Effective Config",""
"agents.editor_ui.inherited","inherited",""
"agents.editor_ui.overridden","overridden",""
"agents.editor_ui.field_model","Model",""
"agents.editor_ui.field_provider","Provider",""
"agents.editor_ui.field_base_url","Base URL",""
"agents.editor_ui.field_auth_token","Auth Token",""
"agents.editor_ui.field_max_budget","Max Budget",""
"agents.editor_ui.field_max_turns","Max Turns",""
"agents.editor_ui.field_prompt_cache","Prompt Cache",""
"agents.editor_ui.provider","Provider",""
"agents.editor_ui.provider_anthropic","Anthropic",""
"agents.editor_ui.provider_ollama","Ollama (local)",""
"agents.editor_ui.provider_litellm","LiteLLM (proxy)",""
"agents.editor_ui.provider_custom","Custom URL",""
"agents.editor_ui.model_name","Model Name",""
"agents.editor_ui.model_name_placeholder_litellm","e.g. anthropic/claude-sonnet-4-20250514",""
"agents.editor_ui.model_name_placeholder_ollama","e.g. llama3.1:8b",""
"agents.editor_ui.model_name_placeholder_custom","Model identifier",""
"agents.editor_ui.base_url","Base URL",""
"agents.editor_ui.base_url_hint","The API endpoint for your model provider. Must include protocol (http/https) and port if non-standard.",""
"agents.editor_ui.base_url_example","http://localhost:11434",""
"agents.editor_ui.auth_token","Auth Token",""
"agents.editor_ui.auth_token_hint","Authentication token for the provider API. For Ollama local, use 'ollama'. For LiteLLM, use your master key.",""
"agents.editor_ui.auth_token_example","sk-...",""
"agents.editor_ui.auth_token_placeholder_litellm","LiteLLM master key (sk-...)",""
"agents.editor_ui.auth_token_placeholder_ollama","ollama",""
"agents.editor_ui.auth_token_placeholder_custom","Bearer token",""
"agents.editor_ui.saved","Saved",""
"agents.editor_ui.litellm_label","LiteLLM Proxy Settings",""
"agents.editor_ui.litellm_sublabel","(global, shared across all agents)",""
"agents.editor_ui.litellm_base_url_placeholder","Proxy Base URL (http://localhost:4000)",""
"agents.editor_ui.litellm_master_key_placeholder","Master Key (sk-...)",""
"agents.editor_ui.litellm_save_label","Save Global Config",""
"agents.editor_ui.litellm_description","These global settings are used as defaults for all agents using the LiteLLM provider. Per-agent overrides above take precedence.",""
"agents.editor_ui.ollama_label","Ollama API Key",""
"agents.editor_ui.ollama_sublabel","(global, shared across all personas)",""
"agents.editor_ui.ollama_placeholder","Paste your key from ollama.com/settings",""
"agents.editor_ui.ollama_save_label","Save Key",""
"agents.editor_ui.ollama_signup","Sign up free at",""
"agents.editor_ui.ollama_copy_key","and copy your API key from Settings.",""
"agents.editor_ui.compare_models","Compare Models",""
"agents.editor_ui.side_by_side","Side-by-side",""
"agents.editor_ui.model_a","Model A",""
"agents.editor_ui.model_b","Model B",""
"agents.editor_ui.add_prompt_first","Add a prompt first to run comparisons.",""
"agents.editor_ui.select_different_models","Select two different models to compare.",""
"agents.editor_ui.run_comparison","Run Comparison",""
"agents.editor_ui.generating_scenarios","Generating scenarios...",""
"agents.editor_ui.testing_model","Testing {modelId}",""
"agents.editor_ui.running","Running...",""
"agents.editor_ui.tokens_in","Tokens In",""
"agents.editor_ui.tokens_out","Tokens Out",""
"agents.editor_ui.wins","wins",""
"agents.editor_ui.composite","composite",""
"agents.editor_ui.quality","Quality",""
"agents.editor_ui.tool_accuracy","Tool Accuracy",""
"agents.editor_ui.protocol","Protocol",""
"agents.editor_ui.scenario","Scenario",""
"agents.editor_ui.output_previews","Output Previews",""
"agents.editor_ui.no_output","No output",""
"agents.editor_ui.select_agent","Select an agent to get started",""
"agents.editor_ui.choose_from_sidebar","Choose from the sidebar or create a new agent",""
"agents.editor_ui.save_failed_retry","Save failed -- will retry on next edit",""
"agents.editor_ui.delete_failed","Delete failed: {message}",""
"agents.editor_ui.tab_activity","Activity",""
"agents.editor_ui.tab_matrix","Matrix",""
"agents.editor_ui.tab_use_cases","Use Cases",""
"agents.editor_ui.tab_prompt","Prompt",""
"agents.editor_ui.tab_lab","Lab",""
"agents.editor_ui.tab_connectors","Connectors",""
"agents.editor_ui.tab_chat","Chat",""
"agents.editor_ui.tab_design","Design",""
"agents.editor_ui.tab_health","Health",""
"agents.editor_ui.tab_settings","Settings",""
"agents.editor_ui.unsaved_changes","Unsaved changes",""
"agents.editor_ui.partial_load","Partial load:",""
"agents.editor_ui.cloud_connect","Connect a cloud orchestrator to run personas remotely",""
"agents.editor_ui.cloud_signin","Sign in to unlock cloud features and remote execution",""
"agents.editor_ui.execution_in_progress","Execution in progress",""
"agents.editor_ui.execute","Execute",""
"agents.editor_ui.execute_failed","Failed to start execution. Please try again.",""
"agents.editor_ui.no_triggers_or_subs","No triggers or event subscriptions configured",""
"agents.editor_ui.missing_credentials","Missing credentials: {credentials}",""
"agents.editor_ui.cannot_enable","Cannot enable agent",""
"agents.editor_ui.success","Success",""
"agents.editor_ui.health","Health",""
"agents.editor_ui.latency","Latency",""
"agents.editor_ui.cost_per_run","Cost/run",""
"agents.editor_ui.last_run","Last run",""
"agents.editor_ui.rank","Rank",""
"agents.editor_ui.view_in_leaderboard","View in Leaderboard",""
"vault.title","Vault","Trezor"
"vault.subtitle","Choose how you want to add a credential","Zvolte způsob přidání přihlašovacího údaje"
"vault.add_from_catalog","Add from catalog","Přidat z katalogu"
"vault.ai_designed","AI-designed credential","AI navržený přihlašovací údaj"
"vault.workspace_connect","Workspace Connect","Workspace Connect"
"vault.quick_start","Quick start","Rychlý start"
"vault.health.healthy","healthy","v pořádku"
"vault.health.needs_attention","needs attention","vyžaduje pozornost"
"vault.health.untested","untested","netestováno"
"vault.list.no_credentials","No authenticated services detected. Select manually below.","Nebyly detekovány žádné ověřené služby. Vyberte ručně níže."
"vault.list.delete_confirm","Delete this credential?","Smazat tento přihlašovací údaj?"
"vault.list.blast_radius","What's Affected","Oblast dopadu"
"vault.list.no_dependencies","No agents depend on this credential. Safe to modify or remove.","Žádní agenti nezávisí na tomto přihlašovacím údaji. Lze bezpečně upravit nebo odebrat."
"vault.list.affected_agents","Affected Agents","Dotčení agenti"
"vault.list.affected_events","Affected Events","Dotčené události"
"vault.import.title","Import Source","Zdroj importu"
"vault.import.picker_subtitle","Choose the source of your secrets","Zvolte zdroj vašich tajných klíčů"
"vault.import.select_all","Select all","Vybrat vše"
"vault.import.deselect_all","None","Žádné"
"vault.import.enable_sync","Keep in sync automatically","Zapnout režim synchronizace"
"vault.import.source_ref","Source reference","Reference zdroje"
"vault.import.poll_interval","How often to check","Interval dotazování"
"vault.import.intervals.min15","15 min","15 min"
"vault.import.intervals.min30","30 min","30 min"
"vault.import.intervals.hour1","1 hour","1 hodina"
"vault.import.intervals.hour6","6 hours","6 hodin"
"vault.import.intervals.day1","24 hours","24 hodin"
"vault.features.anomaly_detected","Unusual activity: this connection suddenly stopped working after it was fine before. The password or key may have been changed or revoked.","Detekována anomálie: přihlašovací údaj náhle selhává po předchozím úspěchu. Možné zneplatnění."
"vault.features.history","History","Historie"
"vault.features.event_triggers","Event Triggers","Spouštěče událostí"
"vault.features.rotation_policy.rotate_every","Rotate every","Rotovat každých"
"vault.features.rotation_policy.days","days","dní"
"vault.features.rotation_policy.no_policy","No rotation policy configured.","Žádná politika rotace nakonfigurována."
"vault.features.rotation_policy.oauth_refresh_active","OAuth token refresh active",""
"vault.features.rotation_policy.oauth_refresh_active_auto","OAuth token refresh active (auto)",""
"vault.features.rotation_policy.auto_rotation_active","Auto-rotation active",""
"vault.features.rotation_policy.rotation_paused","Rotation paused",""
"vault.features.rotation_policy.rotate_now","Rotate Now",""
"vault.features.rotation_policy.enable_rotation","Enable Rotation",""
"vault.features.rotation_policy.enabling","Enabling...",""
"vault.features.rotation_policy.remove_policy_tooltip","Remove rotation policy",""
"vault.features.rotation_policy.save","Save",""
"vault.features.rotation_policy.cancel","Cancel",""
"vault.features.rotation_policy.rotation_failed","Rotation failed: {error}",""
"vault.features.rotation_policy.remove_failed","Failed to remove policy: {error}",""
"vault.features.rotation_policy.update_failed","Failed to update rotation period: {error}",""
"vault.features.rotation_policy.enable_failed","Failed to enable rotation: {error}",""
"vault.features.rotation_policy.last_rotated","Last rotated {time}",""
"vault.features.anomaly.healthy","Healthy",""
"vault.features.anomaly.transient_issues","Temporary Issues",""
"vault.features.anomaly.degrading","Getting Worse",""
"vault.features.anomaly.permanent_errors","Ongoing Errors",""
"vault.features.anomaly.critical","Critical",""
"vault.features.anomaly.stale","outdated",""
"vault.features.anomaly.samples","{count} checks",""
"vault.features.anomaly.permanent","Ongoing: {rate}",""
"vault.features.anomaly.transient","Temporary: {rate}",""
"vault.features.anomaly.tolerance","Tolerance: {rate}",""
"vault.features.rotation_badge.disabled","Disabled",""
"vault.features.rotation_badge.perm_errors","Ongoing Errors",""
"vault.features.rotation_badge.degrading","Getting Worse",""
"vault.features.rotation_badge.backoff","Waiting to Retry",""
"vault.features.audit.empty","No audit entries yet. Operations will be logged as they occur.",""
"vault.features.audit.op_decrypted","Decrypted",""
"vault.features.audit.op_created","Created",""
"vault.features.audit.op_updated","Updated",""
"vault.features.audit.op_deleted","Deleted",""
"vault.features.audit.op_healthcheck","Connection Test",""
"vault.features.audit.filter_all","all",""
"vault.features.intelligence.operation","Operation","Operace"
"vault.features.intelligence.detail","Detail","Detail"
"vault.features.intelligence.time","Time","Čas"
"vault.negotiator.title","AI Connection Setup","AI vyjednavač přihlašovacích údajů"
"vault.negotiator.subtitle","Automatically set up your service credentials","Automatizované zajištění API klíčů"
"vault.negotiator.initializing","Initializing negotiator...","Inicializace vyjednavače..."
"vault.negotiator.prerequisites","Prerequisites","Předpoklady"
"vault.negotiator.all_steps_completed","All steps completed","Všechny kroky dokončeny"
"vault.negotiator.captured","Credentials captured","Přihlašovací údaje zachyceny"
"vault.negotiator.error_title","Something went wrong","Něco se pokazilo"
"vault.negotiator.start_description","Let the AI guide you step-by-step through setting up {label} access. It will open the right pages, tell you exactly what to click, and save your login details automatically.","Nechte AI provést vás krok za krokem získáním API přihlašovacích údajů pro {label}. Otevře správné stránky, řekne vám přesně kam kliknout a automaticky zachytí vaše klíče."
"vault.negotiator.start_button","Start guided setup","Spustit automatické zajištění"
"vault.negotiator.estimated_time","Takes ~{minutes} minutes","Trvá ~{minutes} minut"
"vault.negotiator.planning_description","AI is looking at the service and creating a step-by-step setup guide...","AI analyzuje vývojářský portál a generuje plán zajištění krok za krokem..."
"vault.negotiator.provisioning_label","Setting up {label}","Zajišťování {label}"
"vault.negotiator.fields_captured","{count} field(s) auto-filled from the provisioning flow.","{count} pole automaticky vyplněno z procesu zajištění."
"vault.negotiator.apply_button","Apply to credential form","Použít ve formuláři"
"vault.negotiator.try_again","Try again","Zkusit znovu"
"vault.negotiator.estimated_minutes","~{minutes} min","~{minutes} min"
