key,english,czech
"agents.lab.generate_test_draft","Generate & Test Draft","Generovat a otestovat návrh"
"agents.lab.cancel_matrix_test","Cancel Matrix Test","Zrušit maticový test"
"agents.lab.score_excellent","Excellent","Vynikající"
"agents.lab.score_good","Good","Dobré"
"agents.lab.score_fair","Fair","Ucházející"
"agents.lab.score_weak","Weak","Slabé"
"agents.lab.score_poor","Poor","Špatné"
"agents.lab.composite_score","Composite Score","Souhrnné skóre"
"agents.lab.tool_usage","Tool Usage","Použití nástrojů"
"agents.lab.output_quality","Output Quality","Kvalita výstupu"
"agents.lab.protocol","Protocol","Protokol"
"agents.lab.tool_accuracy","Tool Accuracy","Přesnost nástrojů"
"agents.lab.protocol_compliance","Protocol Compliance","Dodržování protokolu"
"agents.lab.no_results","No results to display","Žádné výsledky k zobrazení"
"agents.lab.evaluation_insights","Evaluation Insights","Poznatky z hodnocení"
"agents.lab.improvement_suggestions","Improvement Suggestions","Návrhy na zlepšení"
"agents.lab.scenario_breakdown","Scenario Breakdown","Rozpis scénářů"
"agents.lab.click_cell_details","Click a cell for details","Klikněte na buňku pro detaily"
"agents.lab.tied","tied","nerozhodně"
"agents.lab.winner","Winner","Vítěz"
"agents.lab.best_badge","Best","Nejlepší"
"agents.lab.ab_comparison","Comparison","Porovnání"
"agents.lab.ab_scenarios","Scenarios","Scénáře"
"agents.lab.ab_no_runs","No A/B test runs yet","Zatím žádná spuštění A/B testu"
"agents.lab.ab_no_runs_subtitle","Select two versions and run a comparison","Vyberte dvě verze a spusťte porovnání"
"agents.lab.ab_history_title","A/B History","Historie A/B"
"agents.lab.ab_mode_label","A/B Test","A/B test"
"agents.lab.select_version_a","Select Version A to continue","Vyberte verzi A pro pokračování"
"agents.lab.select_version_b","Select Version B to continue","Vyberte verzi B pro pokračování"
"agents.lab.run_ab_test","Run A/B Test","Spustit A/B test"
"agents.lab.cancel_ab_test","Cancel A/B Test","Zrušit A/B test"
"agents.lab.version_a","Version A","Verze A"
"agents.lab.version_b","Version B","Verze B"
"agents.lab.select_version","Select version","Vybrat verzi"
"agents.lab.test_input_label","Test Input (optional JSON)","Testovací vstup (volitelné JSON)"
"agents.lab.ab_test_summary","A/B Test Summary","Shrnutí A/B testu"
"agents.lab.head_to_head","Head-to-Head","Přímý souboj"
"agents.lab.models_column","Models","Modely"
"agents.lab.scenarios_column","Scenarios","Scénáře"
"agents.lab.best_column","Best","Nejlepší"
"agents.lab.winner_scores","Winner Scores","Skóre vítěze"
"agents.lab.no_arena_runs","No arena runs yet","Zatím žádná spuštění arény"
"agents.lab.no_arena_runs_subtitle","Select models above and run a test","Vyberte modely výše a spusťte test"
"agents.lab.arena_history_title","Arena History","Historie arény"
"agents.lab.arena_mode_label","Arena","Aréna"
"agents.lab.test_summary","Test Summary","Shrnutí testu"
"agents.lab.model_performance","Model Performance","Výkon modelu"
"agents.lab.insights_suggestions","Insights & Suggestions","Poznatky a návrhy"
"agents.lab.versions_column","Versions","Verze"
"agents.lab.no_eval_runs","No evaluation runs yet","Zatím žádná hodnotící spuštění"
"agents.lab.no_eval_runs_subtitle","Select versions and models, then run","Vyberte verze a modely a poté spusťte"
"agents.lab.eval_history_title","Eval History","Historie hodnocení"
"agents.lab.eval_mode_label","Evaluation","Hodnocení"
"agents.lab.prompt_versions_label","Prompt Versions (select 2+)","Verze promptu (vyberte 2+)"
"agents.lab.select_2_versions","Select at least 2 prompt versions","Vyberte alespoň 2 verze promptu"
"agents.lab.run_eval_matrix","Run Evaluation Matrix","Spustit matici hodnocení"
"agents.lab.cancel_eval","Cancel Eval","Zrušit hodnocení"
"agents.lab.min_2_versions_warning","At least 2 prompt versions are needed. Create more versions in the Versions tab.","Jsou potřeba alespoň 2 verze promptu. Vytvořte další v záložce Verze."
"agents.lab.radar_title","Model Performance Radar","Radar výkonu modelů"
"agents.lab.eval_summary","Evaluation Summary","Shrnutí hodnocení"
"agents.lab.version_model_matrix","Version x Model Matrix","Matice Verze x Model"
"agents.lab.avg_column","Avg","Prům."
"agents.lab.version_column","Version","Verze"
"agents.lab.scenario_column","Scenario","Scénář"
"agents.lab.version_performance","Version Performance","Výkon verze"
"agents.lab.composite_label","Composite","Souhrnné"
"agents.lab.select_persona_evolution","Select a persona to configure auto-evolution","Vyberte personu pro nastavení auto-evoluce"
"agents.lab.auto_evolution","Auto-Evolution","Auto-evoluce"
"agents.lab.auto_evolution_subtitle","Continuously evolve this persona through lab-driven optimization","Průběžně vyvíjejte tuto personu pomocí laboratorní optimalizace"
"agents.lab.darwinian_evolution","Darwinian Evolution","Darwinovská evoluce"
"agents.lab.disable_auto_evolution","Disable auto-evolution","Vypnout auto-evoluci"
"agents.lab.enable_auto_evolution","Enable auto-evolution","Zapnout auto-evoluci"
"agents.lab.cycles_label","Cycles","Cykly"
"agents.lab.promotions_label","Promotions","Povýšení"
"agents.lab.next_cycle","Next Cycle","Další cyklus"
"agents.lab.ready_label","Ready","Připraveno"
"agents.lab.waiting_label","Waiting","Čeká se"
"agents.lab.evolving","Evolving...","Probíhá evoluce..."
"agents.lab.trigger_evolution","Trigger Evolution Cycle","Spustit evoluční cyklus"
"agents.lab.mutation_rate","Mutation Rate","Míra mutace"
"agents.lab.variants_per_cycle","Variants per Cycle","Variant v cyklu"
"agents.lab.improvement_threshold","Improvement Threshold","Práh zlepšení"
"agents.lab.min_execs_between","Min Executions Between","Min. spuštění mezi"
"agents.lab.save_settings","Save Settings","Uložit nastavení"
"agents.lab.evolution_history","Evolution History","Historie evoluce"
"agents.lab.variants_tested","{count} variants tested","{count} variant otestováno"
"agents.lab.promoted_label","Promoted","Povýšeno"
"agents.lab.self_improving_title","Self-improving personas","Sebevylepšující se persony"
"agents.lab.self_improving_desc","Enable auto-evolution to continuously optimize this persona. After each batch of executions, variants are automatically generated, evaluated, and promoted if they outperform the current configuration.","Zapněte auto-evoluci pro průběžnou optimalizaci této persony. Po každé dávce spuštění jsou automaticky generovány varianty, vyhodnoceny a povýšeny, pokud překonají aktuální konfiguraci."
"agents.lab.quality_label","Quality","Kvalita"
"agents.lab.speed_label","Speed","Rychlost"
"agents.lab.cost_label","Cost","Náklady"
"agents.lab.genome_breeding","Genome Breeding","Křížení genomu"
"agents.lab.genome_breeding_subtitle","Cross-breed top-performing personas to discover novel configurations","Křižte nejvýkonnější persony a objevte nové konfigurace"
"agents.lab.select_parents","Select Parents (2-5 personas)","Vyberte rodiče (2-5 person)"
"agents.lab.no_personas_available","No personas available","Nejsou dostupné žádné persony"
"agents.lab.fitness_objective","Fitness Objective","Cíl zdatnosti"
"agents.lab.overall_label","Overall","Celkové"
"agents.lab.generations_label","Generations","Generace"
"agents.lab.breeding_ellipsis","Breeding...","Křížení..."
"agents.lab.breeding_history","Breeding History","Historie křížení"
"agents.lab.evolution_progress","Evolution Progress","Průběh evoluce"
"agents.lab.evolution_progress_subtitle","Fitness trajectory across generations","Trajektorie zdatnosti napříč generacemi"
"agents.lab.offspring_subtitle","Adopt top performers as new personas","Přijměte nejlepší výsledky jako nové persony"
"agents.lab.breeding_in_progress","Breeding in progress...","Probíhá křížení..."
"agents.lab.breeding_results_hint","Results will appear when the breeding run completes","Výsledky se objeví po dokončení křížení"
"agents.lab.evolve_personas_title","Evolve your personas","Vyvíjejte své persony"
"agents.lab.evolve_personas_desc","Select 2-5 parent personas above, tune the fitness objective, then click Start Breeding. The genetic algorithm will cross-breed prompts, tools, and model configurations to discover novel high-performing variants.","Vyberte 2-5 rodičovských person, nastavte cíl zdatnosti a klikněte na Spustit křížení. Genetický algoritmus zkříží prompty, nástroje a konfigurace modelů, aby objevil nové, vysoce výkonné varianty."
"agents.lab.adopt_as_persona","Adopt as Persona","Přijmout jako personu"
"agents.lab.adopted","Adopted","Přijato"
"agents.lab.compare_parent","Compare with parent","Porovnat s rodičem"
"agents.lab.best_legend","Best","Nejlepší"
"agents.lab.avg_legend","Avg","Průměr"
"agents.lab.worst_legend","Worst","Nejhorší"
"agents.lab.total_offspring","{count} total offspring","celkem {count} potomků"
"agents.lab.genome_diff","Genome Diff","Rozdíl genomu"
"agents.lab.prompt_segments_section","Prompt Segments","Segmenty promptu"
"agents.lab.tools_section","Tools","Nástroje"
"agents.lab.model_section","Model","Model"
"agents.lab.config_section","Config","Konfigurace"
"agents.lab.no_changes","No changes","Žádné změny"
"agents.lab.instruction_column","Instruction","Pokyn"
"agents.lab.draft_column","Draft","Návrh"
"agents.lab.accepted_label","Accepted","Přijato"
"agents.lab.pending_label","Pending","Čeká na vyřízení"
"agents.lab.no_matrix_runs","No matrix runs yet","Zatím žádná maticová spuštění"
"agents.lab.no_matrix_runs_subtitle","Describe a change above to generate and test a draft","Popište změnu výše pro generování a testování návrhu"
"agents.lab.matrix_history_title","Matrix History","Historie matice"
"agents.lab.matrix_mode_label","Matrix","Matice"
"agents.lab.draft_changes","Draft Changes","Navrhované změny"
"agents.lab.current_column","Current","Současné"
"agents.lab.accept_draft","Accept Draft","Přijmout návrh"
"agents.lab.accept_applies_desc","Accept applies the draft prompt to the persona, creating a new prompt version.","Přijetím se navržený prompt aplikuje na personu a vytvoří se nová verze promptu."
"agents.lab.draft_accepted","Draft accepted and applied","Návrh byl přijat a aplikován"
"agents.lab.score_comparison","Score Comparison","Porovnání skóre"
"agents.lab.metric_column","Metric","Metrika"
"agents.lab.delta_column","Delta","Rozdíl (Delta)"
"agents.lab.no_baseline_title","No Baseline Pinned","Chybí připnutý základ"
"agents.lab.no_baseline_subtitle","Pin a prompt version as baseline in the Versions tab to enable regression testing.","Připněte verzi promptu jako základ v záložce Verze pro zapnutí regresního testování."
"agents.lab.go_to_versions","Go to Versions","Přejít na verze"
"agents.lab.compare_against","Compare against:","Porovnat proti:"
"agents.lab.models_to_test","Models to test:","Modely k otestování:"
"agents.lab.regression_threshold","Regression threshold:","Práh regrese:"
"agents.lab.threshold_hint","pts (fail if composite score drops more than this)","bodů (selže, pokud souhrnné skóre klesne o více)"
"agents.lab.running_regression","Running Regression Check...","Probíhá kontrola regrese..."
"agents.lab.run_regression","Run Regression Check","Spustit kontrolu regrese"
"agents.lab.no_regressions","No Regressions Detected","Žádné regrese nebyly zjištěny"
"agents.lab.improved_over_baseline","Improved Over Baseline","Zlepšení oproti základu"
"agents.lab.no_comparable_scenarios","No comparable scenarios found between baseline and current eval results.","Mezi základem a aktuálními výsledky hodnocení nebyly nalezeny žádné srovnatelné scénáře."
"agents.lab.per_scenario_results","Per-Scenario Results","Výsledky podle scénářů"
"agents.lab.no_structural_diff","No structural differences detected","Nebyly zjištěny žádné strukturální rozdíly"
"agents.lab.no_changes_diff","No changes","Beze změn"
"agents.lab.improvement_run_started","Improvement run started","Spuštění vylepšování zahájeno"
"agents.lab.analyzing_patching","Analyzing and patching prompt...","Analýza a úprava promptu..."
"agents.lab.auto_improve","Auto-Improve Prompt","Auto-vylepšení promptu"
"agents.lab.no_prompt_changes","No prompt changes","Žádné změny v promptu"
"agents.lab.evaluation_notes","Evaluation Notes","Poznámky k hodnocení"
"agents.lab.how_to_fix","How to Fix This","Jak to opravit"
"agents.lab.rate_label","Rate","Hodnotit"
"agents.lab.agent_output","Agent Output","Výstup agenta"
"agents.lab.tool_calls","Tool Calls","Volání nástrojů"
"agents.lab.expected_label","Expected","Očekávané"
"agents.lab.actual_label","Actual","Skutečné"
"agents.lab.none_specified","None specified","Nespecifikováno"
"agents.lab.none_label","None","Žádné"
"agents.lab.composite_score_formula","Composite Score (TA 40% + OQ 40% + PC 20%)","Souhrnné skóre (TA 40% + OQ 40% + PC 20%)"
"agents.lab.score_trend","Score Trend","Trend skóre"
"agents.lab.run_tests_hint","Run tests to see score trends","Spusťte testy pro zobrazení trendů skóre"
"agents.lab.prompt_timeline","Prompt Timeline","Časová osa promptu"
"agents.lab.no_versions_yet","No prompt versions yet","Zatím žádné verze promptu"
"agents.lab.versions_auto_created","Versions are created automatically when the prompt is modified through the Lab or Matrix build.","Verze jsou vytvářeny automaticky při úpravě promptu v Labu nebo Matrix buildu."
"agents.lab.no_change_summary","No change summary","Chybí shrnutí změn"
"agents.lab.initial_version","Initial version — no previous version to compare","Počáteční verze — není s čím porovnávat"
"agents.lab.promote_action","Promote","Povýšit"
"agents.lab.archive_action","Archive","Archivovat"
"agents.lab.rollback_action","Rollback","Vrátit zpět"
"agents.lab.thumbs_down","Thumbs down","Palec dolů"
"agents.lab.neutral_rating","Neutral","Neutrální"
"agents.lab.thumbs_up","Thumbs up","Palec nahoru"
"agents.lab.saved_label","Saved","Uloženo"
"agents.lab.what_went_wrong","What went wrong? (optional)","Co se nepovedlo? (volitelné)"
"agents.lab.no_persona_selected","No persona selected","Žádná persona nevybrána"
"agents.lab.persona_versions","Persona Versions","Verze persony"
"agents.lab.persona_versions_subtitle","Prompts, tools, and settings","Prompty, nástroje a nastavení"
"agents.lab.no_versions","No versions yet","Zatím žádné verze"
"agents.lab.versions_auto_edit","Versions are created automatically when you edit the prompt","Verze jsou vytvářeny automaticky při úpravě promptu"
"agents.lab.select_two_compare","Select two versions to compare","Vyberte dvě verze k porovnání"
"agents.lab.click_a_b_hint","Click the A and B buttons on any version","Klikněte na tlačítka A a B u libovolné verze"
"agents.lab.run_ab_versions","Run these versions in A/B test","Spustit tyto verze v A/B testu"
"agents.lab.run_check","Run Check","Spustit kontrolu"
"agents.lab.error_rate_monitor","Error Rate Monitor","Monitor chybovosti"
"agents.lab.last_10_execs","Last 10 executions","Posledních 10 spuštění"
"agents.lab.error_rate_rollback_hint","If error rate exceeds 50% after a prompt change, rollback to the production version using the version list.","Pokud chybovost po změně promptu překročí 50 %, vraťte se k produkční verzi pomocí seznamu verzí."
"agents.lab.actions_label","Actions","Akce"
"agents.lab.promote_to_production","Promote to Production","Povýšit do produkce"
"agents.lab.unarchive_action","Unarchive","Obnovit z archivu"
"agents.lab.rollback_to_this","Rollback to this","Vrátit na tuto verzi"
"agents.lab.pin_as_baseline","Pin as Baseline","Připnout jako základ"
"agents.lab.unpin_baseline","Unpin Baseline","Odepnout základ"
"agents.lab.operation_failed","Operation Failed","Operace selhala"
"agents.lab.models_header","Models","Modely"
"agents.lab.ollama_local","Ollama (local)","Ollama (lokální)"
"agents.lab.all_use_cases","All Use Cases","Všechny případy užití"
"agents.lab.results_suffix","Results","Výsledky"
"agents.lab.quality_score_title","Score: {score} | {coverage} scenarios tested | {date}","Skóre: {score} | {coverage} scénářů otestováno | {date}"
"agents.lab.quality_score_inline","Score: {score} | {coverage} scenarios","Skóre: {score} | {coverage} scénářů"
"agents.lab.cancel_default","Cancel","Zrušit"
"agents.lab.hide_impact","Hide impact","Skrýt dopad"
"agents.lab.show_impact","Show impact","Zobrazit dopad"
"agents.design.select_agent","Select an agent to start design analysis","Vyberte agenta pro zahájení analýzy návrhu"
"agents.design.mode_design","Design","Design"
"agents.design.mode_intent","Intent Compiler","Kompilátor záměru"
"agents.design.mode_example","Show by Example","Ukázat na příkladu"
"agents.design.compile_from_examples","Compile from Examples","Sestavit z příkladů"
"agents.design.compile_intent","Compile Intent","Sestavit záměr"
"agents.design.analyze_build","Analyze & Build","Analyzovat a sestavit"
"agents.design.intent_placeholder","Describe what you want this agent to do in plain language... e.g. ""Monitor our Stripe account for failed payments over $100 and notify the finance team on Slack with a summary""","Popište běžným jazykem, co má tento agent dělat... např. ""Sleduj náš Stripe účet pro neúspěšné platby nad $100 a upozorni finanční tým na Slacku se souhrnem"""
"agents.design.intent_submit_hint","Press Enter to submit, Shift+Enter for new line.","Stiskněte Enter pro odeslání, Shift+Enter pro nový řádek."
"agents.design.intent_detail","The compiler will generate a complete configuration: prompt, tools, triggers, use cases, model recommendation, and test scenarios.","Kompilátor vygeneruje kompletní konfiguraci: prompt, nástroje, spouštěče, případy užití, doporučení modelu a testovací scénáře."
"agents.design.example_context_placeholder","Optional: add context or constraints (e.g. ""always prioritize P1 tickets"", ""post to #alerts channel"")","Volitelné: přidejte kontext nebo omezení (např. ""vždy upřednostňuj P1 tikety"", ""posílej do kanálu #vystrahy"")"
"agents.design.clarification_needed","Clarification Needed","Nutné upřesnění"
"agents.design.or_type_answer","or type your answer","nebo napište svou odpověď"
"agents.design.type_custom_answer","Type a custom answer...","Napište vlastní odpověď..."
"agents.design.answer","Answer","Odpověď"
"agents.design.ctrl_enter_submit","Ctrl+Enter to submit","Ctrl+Enter pro odeslání"
"agents.design.cancel_design","Cancel Design","Zrušit návrh"
"agents.design.updating_design","Updating design...","Aktualizace návrhu..."
"agents.design.current_design","Current design","Současný návrh"
"agents.design.applying_changes","Applying changes...","Aplikování změn..."
"agents.design.will_apply","Will apply: ","Bude aplikováno: "
"agents.design.apply_changes","Apply Changes","Aplikovat změny"
"agents.design.refine","Refine","Upřesnit"
"agents.design.discard","Discard","Zahodit"
"agents.design.confirm_discard","Confirm discard?","Potvrdit zahození?"
"agents.design.describe_changes_to_refine","Describe what to change...","Popište, co změnit..."
"agents.design.enter_submit_hint","Press Enter to submit, Shift+Enter for new line.","Stiskněte Enter pro odeslání, Shift+Enter pro nový řádek."
"agents.design.design_failed","Design analysis failed","Analýza návrhu selhala"
"agents.design.applied_with_warnings_one","Applied with {count} warning","Aplikováno s {count} varováním"
"agents.design.applied_with_warnings_other","Applied with {count} warnings","Aplikováno s {count} varováními"
"agents.design.agent_configured","Agent configured!","Agent nastaven!"
"agents.design.operations_failed_one","{count} operation failed","{count} operace selhala"
"agents.design.operations_failed_other","{count} operations failed","{count} operací selhalo"
"agents.design.retrying","Retrying...","Zkouším znovu..."
"agents.design.retry_failed","Retry {count} failed","Opakovaný pokus {count} selhal"
"agents.design.next_steps","Next steps","Další kroky"
"agents.design.configure_credentials","Configure Credentials","Nastavit přihlašovací údaje"
"agents.design.configure_credentials_desc","Connect the services your agent needs","Připojte služby, které váš agent potřebuje"
"agents.design.set_up_triggers","Set Up Triggers","Nastavit spouštěče"
"agents.design.set_up_triggers_desc","Configure when your agent should run","Nastavte, kdy se má agent spouštět"
"agents.design.run_test_execution","Run Test Execution","Spustit testovací spuštění"
"agents.design.run_test_execution_desc","Verify your agent works as expected","Ověřte, zda agent funguje podle očekávání"
"agents.design.review_prompt","Review Prompt","Zkontrolovat prompt"
"agents.design.review_prompt_desc","Fine-tune the generated prompt","Doladit vygenerovaný prompt"
"agents.design.phase_progress_label","Design phase progress","Průběh fáze návrhu"
"agents.design.stage_input","Input","Vstup"
"agents.design.stage_analyzing","Analyzing","Analýza"
"agents.design.stage_question","Question","Dotaz"
"agents.design.stage_review","Review","Kontrola"
"agents.design.stage_applied","Applied","Aplikováno"
"agents.design.stage_error","Error","Chyba"
"agents.design.label_expected","Expected","Očekávané"
"agents.design.label_sample_input","Sample Input","Ukázkový vstup"
"agents.design.label_intent","Intent","Záměr"
"agents.design.label_model_recommendation","Model Recommendation","Doporučení modelu"
"agents.design.label_model","Model","Model"
"agents.design.label_est_cost_run","Est. Cost/Run","Odhad ceny/běh"
"agents.design.label_complexity","Complexity","Složitost"
"agents.design.use_cases_title","Use Cases","Případy užití"
"agents.design.test_scenarios_title","Test Scenarios","Testovací scénáře"
"agents.design.msg_count_one","{count} msg","{count} zpráva"
"agents.design.msg_count_other","{count} msgs","{count} zpráv"
"agents.design.resume","Resume","Pokračovat"
"agents.design.design_drift","Design Drift","Odchylka návrhu"
"agents.design.design_sessions","Design Sessions","Relace návrhu"
"agents.design.example_n","Example {index}","Příklad {index}"
"agents.design.remove_example","Remove example","Odebrat příklad"
"agents.design.input_label","Input -- what the agent receives","Vstup -- co agent přijímá"
"agents.design.output_label","Output -- what you want the agent to produce","Výstup -- co chcete, aby agent vytvořil"
"agents.design.input_placeholder","Paste a real input... e.g. an email body, a Slack message, an incoming request, a CSV row","Vložte reálný vstup... např. tělo e-mailu, zprávu ze Slacku, příchozí požadavek, řádek z CSV"
"agents.design.output_placeholder","Describe or paste the desired output... e.g. ""Create a Jira ticket with title from subject, priority P2, assigned to backend team""","Popište nebo vložte požadovaný výstup... např. ""Vytvoř Jira tiket s názvem z předmětu, prioritou P2, přiřazený backend týmu"""
"agents.design.example_instructions","Paste a real input (email, incoming request, message) and show the output you want. The compiler reverse-engineers the full agent configuration from your examples.","Vložte reálný vstup (email, požadavek, zpráva) a ukažte požadovaný výstup. Kompilátor zpětně odvodí celou konfiguraci agenta z vašich příkladů."
"agents.design.add_first_example","Add your first input -> output example","Přidejte svůj první příklad vstup -> výstup"
"agents.design.current_config_preserved","Current configuration will be preserved. Describe what to change.","Aktuální konfigurace bude zachována. Popište, co změnit."
"agents.design.describe_changes_placeholder","Describe changes to this design...","Popište změny tohoto návrhu..."
"agents.design.update_design","Update Design","Aktualizovat návrh"
"agents.design.switch_to_manual","Switch to manual","Přepnout na manuální"
"agents.design.generate_design","Generate Design","Generovat návrh"
"agents.design.next","Next","Další"
"agents.design.go_back_hint","Go back and answer the questions to configure your agent.","Vraťte se zpět a odpovězte na otázky pro nastavení agenta."
"agents.design.additional_instructions","Additional instructions or context (optional)","Doplňující pokyny nebo kontext (volitelné)"
"agents.design.additional_instructions_placeholder","Add any specific requirements, domain knowledge, or constraints...","Přidejte specifické požadavky, znalosti domény nebo omezení..."
"agents.connectors.connectors_label","Connectors","Konektory"
"agents.connectors.list_view","List view","Seznam"
"agents.connectors.graph_view","Dependency graph","Graf závislostí"
"agents.connectors.no_persona","No persona selected","Žádná persona nevybrána"
"agents.connectors.auto_title","Automations","Automatizace"
"agents.connectors.auto_active","{count} active","{count} aktivních"
"agents.connectors.auto_add","Add","Přidat"
"agents.connectors.auto_add_from platforms","Add automation from n8n, Zapier, or GitHub Actions","Přidat automatizaci z n8n, Zapier nebo GitHub Actions"
"agents.connectors.auto_delete_title","Delete Automation","Smazat automatizaci"
"agents.connectors.auto_delete_msg","Permanently delete {name}.","Trvale smazat {name}."
"agents.connectors.auto_edit","Edit","Upravit"
"agents.connectors.auto_pause","Pause","Pozastavit"
"agents.connectors.auto_activate","Activate","Aktivovat"
"agents.connectors.auto_confirm","Confirm?","Potvrdit?"
"agents.connectors.auto_test","Test","Testovat"
"agents.connectors.auto_configure","Configure","Nastavit"
"agents.connectors.auto_fallback","Fallback","Záloha"
"agents.connectors.auto_last_run","Last run: {time}","Poslední běh: {time}"
"agents.connectors.auto_never_triggered","Never triggered","Nikdy nespuštěno"
"agents.connectors.auto_not_deployed","Not deployed","Nenasazeno"
"agents.connectors.auto_modal_add","Add Automation","Přidat automatizaci"
"agents.connectors.auto_modal_configure","Configure Automation","Nastavit automatizaci"
"agents.connectors.auto_modal_designing","Designing Automation...","Navrhování automatizace..."
"agents.connectors.auto_modal_review","Review Automation","Zkontrolovat automatizaci"
"agents.connectors.auto_modal_deploying","Deploying...","Nasazování..."
"agents.connectors.auto_modal_deployed","Automation Deployed","Automatizace nasazena"
"agents.connectors.auto_modal_failed","Deployment Failed","Nasazení selhalo"
"agents.connectors.auto_start_over","Start over","Začít znovu"
"agents.connectors.auto_deploy_save","Deploy & Save","Nasadit a uložit"
"agents.connectors.auto_name_required","Enter a name to continue","Zadejte název pro pokračování"
"agents.connectors.auto_cred_required","Select a credential before deploying","Před nasazením vyberte přihlašovací údaje"
"agents.connectors.auto_describe","Describe what you want this automation to do. AI will design and deploy the workflow automatically.","Popište, co má tato automatizace dělat. AI automaticky navrhne a nasadí workflow."
"agents.connectors.auto_describe_placeholder","e.g. Process uploaded CSV files, extract key data, and push results to Google Sheets","např. Zpracuj nahrané CSV soubory, vytáhni klíčová data a odešli výsledky do Google Sheets"
"agents.connectors.auto_target_platform","Target platform:","Cílová platforma:"
"agents.connectors.auto_creds_required","{label} credentials required","Vyžadovány přihlašovací údaje {label}"
"agents.connectors.auto_add_key_hint","Add your {label} API key in the Vault to enable direct workflow management and deployment.","Přidejte svůj API klíč {label} do Trezoru pro přímou správu a nasazení workflow."
"agents.connectors.auto_add_creds","Add {label} Credentials","Přidat údaje {label}"
"agents.connectors.auto_connected","{label} connected","{label} připojeno"
"agents.connectors.auto_missing_perms","Missing GitHub permissions","Chybějící oprávnění GitHub"
"agents.connectors.auto_repo_required","Repository (required)","Repozitář (povinné)"
"agents.connectors.auto_loading_repos","Loading repositories...","Načítání repozitářů..."
"agents.connectors.auto_select_repo","Select a repository...","Vyberte repozitář..."
"agents.connectors.auto_no_repos","No repositories found. Check your token permissions.","Žádné repozitáře nebyly nalezeny. Zkontrolujte oprávnění tokenu."
"agents.connectors.auto_your_zaps","Your existing Zaps","Vaše existující Zapy"
"agents.connectors.auto_loading_zaps","Loading your Zaps...","Načítání vašich Zapů..."
"agents.connectors.auto_no_zaps","No existing Zaps found. A new Zap will be created during deployment.","Žádné existující Zapy nebyly nalezeny. Během nasazení bude vytvořen nový Zap."
"agents.connectors.auto_zaps_ref","AI will design a new Zap with a catch hook for your agent. Existing Zaps are shown for reference.","AI navrhne nový Zap s catch hookem pro vašeho agenta. Existující Zapy jsou zobrazeny pro referenci."
"agents.connectors.auto_ctrl_enter","Ctrl+Enter to submit","Ctrl+Enter pro odeslání"
"agents.connectors.auto_complete_fields","Complete all required fields first","Nejprve vyplňte všechna povinná pole"
"agents.connectors.auto_design_ai","Design with AI","Navrhnout pomocí AI"
"agents.connectors.auto_elapsed","{elapsed}s elapsed","uplynulo {elapsed}s"
"agents.connectors.auto_typically","Typically 15-30 seconds","Obvykle 15-30 sekund"
"agents.connectors.auto_ai_recommendation","AI recommendation:","Doporučení AI:"
"agents.connectors.auto_name_label","Name","Název"
"agents.connectors.auto_platform_label","Platform","Platforma"
"agents.connectors.auto_credential_label","Credential","Přihlašovací údaj"
"agents.connectors.auto_none_selected","None selected","Nebylo vybráno"
"agents.connectors.auto_what_will_happen","What will happen","Co se stane"
"agents.connectors.auto_replaces","Replaces connectors","Nahrazuje konektory"
"agents.connectors.auto_show_advanced","Show advanced settings","Zobrazit pokročilá nastavení"
"agents.connectors.auto_hide_advanced","Hide advanced settings","Skrýt pokročilá nastavení"
"agents.connectors.auto_input_schema","Input Schema","Schéma vstupu"
"agents.connectors.auto_on_failure","On failure","Při selhání"
"agents.connectors.auto_timeout","Timeout","Časový limit"
"agents.connectors.auto_seconds","seconds","sekund"
"agents.connectors.auto_deploy_failed","Deployment failed","Nasazení selhalo"
"agents.connectors.auto_deploying_to","Deploying to {platform}...","Nasazování do {platform}..."
"agents.connectors.auto_deploy_n8n","Creating workflow and activating on your n8n instance","Vytváření workflow a aktivace na vaší n8n instanci"
"agents.connectors.auto_deploy_github","Setting up repository dispatch integration","Nastavování integrace repository dispatch"
"agents.connectors.auto_deploy_zapier","Validating and connecting catch hook","Ověřování a připojování catch hooku"
"agents.connectors.auto_deploy_custom","Saving automation configuration","Ukládání konfigurace automatizace"
"agents.connectors.auto_deployed_warning","Automation deployed with warning","Automatizace nasazena s varováním"
"agents.connectors.auto_deployed_ok","Automation deployed successfully","Automatizace úspěšně nasazena"
"agents.connectors.auto_view_on","View on {platform}","Zobrazit na {platform}"
"agents.connectors.auto_done","Done","Hotovo"
"agents.connectors.auto_design_failed","Design failed","Návrh selhal"
"agents.connectors.auto_unknown_error","Unknown error","Neznámá chyba"
"agents.connectors.auto_try_again","Try Again","Zkusit znovu"
"agents.connectors.auto_n8n_hint","Workflow will be created and activated on your n8n instance automatically.","Workflow bude automaticky vytvořeno a aktivováno na vaší n8n instanci."
"agents.connectors.auto_github_hint","Repository dispatch configured for {repo}","Repository dispatch nastaven pro {repo}"
"agents.connectors.auto_event_type","Event type: {eventType}","Typ události: {eventType}"
"agents.connectors.auto_zapier_hint","Catch hook will be validated and connected.","Catch hook bude ověřen a připojen."
"agents.connectors.auto_custom_hint","Manual setup required. Automation will be saved as draft.","Vyžadováno manuální nastavení. Automatizace bude uložena jako návrh."
"agents.connectors.ch_title","Notification Channels","Kanály oznámení"
